GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022400784,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,F,,33.000000:48,4.0,9.0,0.444,1.0,4.0,0.25,1.0,2.0,0.5,2.0,4.0,6.0,1.0,2.0,2.0,0.0,3.0,10.0,10.0
0022400784,1610612744,GSW,Golden State,202710,Jimmy Butler III,Jimmy,F,,34.000000:31,6.0,15.0,0.4,1.0,4.0,0.25,6.0,6.0,1.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,19.0,10.0
0022400784,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,C,,29.000000:56,5.0,8.0,0.625,1.0,3.0,0.333,2.0,2.0,1.0,1.0,3.0,4.0,8.0,2.0,1.0,4.0,2.0,13.0,8.0
0022400784,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,G,,39.000000:26,7.0,17.0,0.412,2.0,7.0,0.286,2.0,2.0,1.0,0.0,5.0,5.0,4.0,4.0,1.0,1.0,2.0,18.0,1.0
0022400784,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:18,7.0,17.0,0.412,5.0,13.0,0.385,8.0,9.0,0.889,1.0,4.0,5.0,3.0,0.0,0.0,1.0,2.0,27.0,7.0
0022400784,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,13.000000:56,1.0,5.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
0022400784,1610612744,GSW,Golden State,1630311,Pat Spencer,Pat,,,12.000000:43,2.0,7.0,0.286,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,-2.0
0022400784,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,,,15.000000:48,2.0,4.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,1.0,8.0,9.0,2.0,1.0,0.0,2.0,5.0,5.0,8.0
0022400784,1610612744,GSW,Golden State,1630611,Gui Santos,Gui,,,17.000000:22,1.0,4.0,0.25,1.0,3.0,0.333,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,5.0,-7.0
0022400784,1610612744,GSW,Golden State,1642366,Quinten Post,Quinten,,,7.000000:13,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0
0022400784,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400784,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022400784,1610612744,GSW,Golden State,1642050,Jackson Rowe,Jackson,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400784,1610612745,HOU,Houston,1641708,Amen Thompson,Amen,F,,29.000000:33,2.0,7.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,5.0,0.0,2.0,5.0,1.0,4.0,-14.0
0022400784,1610612745,HOU,Houston,1628415,Dillon Brooks,Dillon,F,,21.000000:02,2.0,6.0,0.333,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,-13.0
0022400784,1610612745,HOU,Houston,1630578,Alperen Sengun,Alperen,C,,26.000000:34,4.0,10.0,0.4,0.0,1.0,0.0,2.0,4.0,0.5,1.0,12.0,13.0,4.0,1.0,0.0,3.0,3.0,10.0,-19.0
0022400784,1610612745,HOU,Houston,1630224,Jalen Green,Jalen,G,,22.000000:07,3.0,10.0,0.3,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,9.0,-10.0
0022400784,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,G,,37.000000:25,10.0,20.0,0.5,2.0,9.0,0.222,3.0,3.0,1.0,2.0,6.0,8.0,4.0,1.0,0.0,1.0,5.0,25.0,-7.0
0022400784,1610612745,HOU,Houston,1630256,Jae'Sean Tate,Jae'Sean,,,26.000000:34,1.0,5.0,0.2,1.0,2.0,0.5,0.0,2.0,0.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,11.0
0022400784,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,10.000000:24,2.0,7.0,0.286,1.0,4.0,0.25,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,-8.0
0022400784,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,5.000000:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,-3.0
0022400784,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,21.000000:28,3.0,10.0,0.3,2.0,8.0,0.25,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,10.0,4.0
0022400784,1610612745,HOU,Houston,1642263,Reed Sheppard,Reed,,,5.000000:09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0
0022400784,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,18.000000:18,5.0,9.0,0.556,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,11.0,16.0
0022400784,1610612745,HOU,Houston,1629111,Jock Landale,Jock,,,15.000000:48,6.0,9.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,3.0,5.0,8.0,1.0,1.0,0.0,0.0,1.0,13.0,15.0
0022400784,1610612745,HOU,Houston,1642368,N'Faly Dante,N'Faly,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400784,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
0022400784,1610612745,HOU,Houston,1627832,Fred VanVleet,Fred,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
